region_id,region_name,state_name,cbsa_code,cbsa_title,match_score,match_method,needs_review
394300,"Ada, OK",OK,10220,"Ada, OK",100,city+state_fuzzy,False
395072,"Scottsbluff, NE",NE,42420,"Scottsbluff, NE",100,city+state_fuzzy,False
394799,"Lock Haven, PA",PA,30820,"Lock Haven, PA",100,city+state_fuzzy,False
394451,"Centralia, IL",IL,16460,"Centralia, IL",100,city+state_fuzzy,False
394713,"Jackson, WY",WY,27220,"Jackson, WY-ID",100,city+state_fuzzy,False
753902,"Malvern, AR",AR,31680,"Malvern, AR",100,city+state_fuzzy,False
394473,"Cleveland, MS",MS,17380,"Cleveland, MS",100,city+state_fuzzy,False
753923,"The Dalles, OR",OR,45520,"The Dalles, OR",100,city+state_fuzzy,False
394706,"Indianola, MS",MS,,,58,unmatched,True
394758,"La Grande, OR",OR,29260,"La Grande, OR",100,city+state_fuzzy,False
394912,"New Ulm, MN",MN,35580,"New Ulm, MN",100,city+state_fuzzy,False
394643,"Great Bend, KS",KS,24460,"Great Bend, KS",100,city+state_fuzzy,False
394858,"Middlesborough, KY",KY,33180,"Middlesborough, KY",100,city+state_fuzzy,False
395077,"Searcy, AR",AR,42620,"Searcy, AR",100,city+state_fuzzy,False
394699,"Huntsville, TX",TX,26660,"Huntsville, TX",100,city+state_fuzzy,False
394298,"Aberdeen, WA",WA,10140,"Aberdeen, WA",100,city+state_fuzzy,False
394626,"Gallup, NM",NM,23700,"Gallup, NM",100,city+state_fuzzy,False
394884,"Mount Airy, NC",NC,34340,"Mount Airy, NC",100,city+state_fuzzy,False
395092,"Shelton, WA",WA,43220,"Shelton, WA",100,city+state_fuzzy,False
394701,"Hutchinson, KS",KS,26740,"Hutchinson, KS",100,city+state_fuzzy,False
395131,"Sterling, IL",IL,44580,"Sterling, IL",100,city+state_fuzzy,False
395122,"St. Marys, GA",GA,,,50,unmatched,True
394838,"Mason City, IA",IA,32380,"Mason City, IA",100,city+state_fuzzy,False
394717,"Jacksonville, TX",TX,27380,"Jacksonville, TX",100,city+state_fuzzy,False
394625,"Galesburg, IL",IL,23660,"Galesburg, IL",100,city+state_fuzzy,False
753911,"Ozark, AL",AL,37120,"Ozark, AL",100,city+state_fuzzy,False
395087,"Seymour, IN",IN,42980,"Seymour, IN",100,city+state_fuzzy,False
394817,"Madisonville, KY",KY,31580,"Madisonville, KY",100,city+state_fuzzy,False
394616,"Freeport, IL",IL,23300,"Freeport, IL",100,city+state_fuzzy,False
394567,"Ellensburg, WA",WA,21260,"Ellensburg, WA",100,city+state_fuzzy,False
394448,"Cedartown, GA",GA,16340,"Cedartown, GA",100,city+state_fuzzy,False
