cbsa_code,cbsa_title,cbsa_type,primary_state,state_list
18660,"Cortland, NY",micro,NY,NY
18700,"Corvallis, OR",metro,OR,OR
18740,"Coshocton, OH",micro,OH,OH
18820,"Crawfordsville, IN",micro,IN,IN
18860,"Crescent City, CA",micro,CA,CA
18880,"Crestview-Fort Walton Beach-Destin, FL",metro,FL,FL
18900,"Crossville, TN",micro,TN,TN
18980,"Cullman, AL",micro,AL,AL
19060,"Cumberland, MD-WV",micro,MD,MD-WV
19100,"Dallas-Fort Worth-Arlington, TX",metro,TX,TX
19140,"Dalton, GA",metro,GA,GA
19180,"Danville, IL",micro,IL,IL
19220,"Danville, KY",micro,KY,KY
19260,"Danville, VA",micro,VA,VA
19300,"Daphne-Fairhope-Foley, AL",metro,AL,AL
19340,"Davenport-Moline-Rock Island, IA-IL",metro,IA,IA-IL
19430,"Dayton-Kettering-Beavercreek, OH",metro,OH,OH
19460,"Decatur, AL",metro,AL,AL
19500,"Decatur, IL",metro,IL,IL
19540,"Decatur, IN",micro,IN,IN
19580,"Defiance, OH",micro,OH,OH
19620,"Del Rio, TX",micro,TX,TX
19660,"Deltona-Daytona Beach-Ormond Beach, FL",metro,FL,FL
19700,"Deming, NM",micro,NM,NM
19740,"Denver-Aurora-Centennial, CO",metro,CO,CO
19760,"DeRidder, LA",micro,LA,LA
19780,"Des Moines-West Des Moines, IA",metro,IA,IA
19810,"Detroit Lakes, MN",micro,MN,MN
19820,"Detroit-Warren-Dearborn, MI",metro,MI,MI
19860,"Dickinson, ND",micro,ND,ND
19940,"Dixon, IL",micro,IL,IL
19980,"Dodge City, KS",micro,KS,KS
20020,"Dothan, AL",metro,AL,AL
20060,"Douglas, GA",micro,GA,GA
20100,"Dover, DE",metro,DE,DE
20140,"Dublin, GA",micro,GA,GA
20180,"DuBois, PA",micro,PA,PA
20220,"Dubuque, IA",metro,IA,IA
20260,"Duluth, MN-WI",metro,MN,MN-WI
20300,"Dumas, TX",micro,TX,TX
20340,"Duncan, OK",micro,OK,OK
20420,"Durango, CO",micro,CO,CO
20460,"Durant, OK",micro,OK,OK
20500,"Durham-Chapel Hill, NC",metro,NC,NC
20540,"Dyersburg, TN",micro,TN,TN
20580,"Eagle Pass, TX",metro,TX,TX
20660,"Easton, MD",micro,MD,MD
20700,"East Stroudsburg, PA",micro,PA,PA
20740,"Eau Claire, WI",metro,WI,WI
20780,"Edwards, CO",micro,CO,CO
20820,"Effingham, IL",micro,IL,IL
20900,"El Campo, TX",micro,TX,TX
20940,"El Centro, CA",metro,CA,CA
20980,"El Dorado, AR",micro,AR,AR
21020,"Elizabeth City, NC",micro,NC,NC
21060,"Elizabethtown, KY",metro,KY,KY
21120,"Elk City, OK",micro,OK,OK
21140,"Elkhart-Goshen, IN",metro,IN,IN
21180,"Elkins, WV",micro,WV,WV
21220,"Elko, NV",micro,NV,NV
21260,"Ellensburg, WA",micro,WA,WA
21300,"Elmira, NY",metro,NY,NY
21340,"El Paso, TX",metro,TX,TX
21380,"Emporia, KS",micro,KS,KS
21420,"Enid, OK",metro,OK,OK
21460,"Enterprise, AL",micro,AL,AL
21500,"Erie, PA",metro,PA,PA
21540,"Escanaba, MI",micro,MI,MI
21580,"Española, NM",micro,NM,NM
21640,"Eufaula, AL-GA",micro,AL,AL-GA
21660,"Eugene-Springfield, OR",metro,OR,OR
21700,"Eureka-Arcata, CA",micro,CA,CA
21740,"Evanston, WY-UT",micro,WY,WY-UT
21780,"Evansville, IN",metro,IN,IN
21820,"Fairbanks-College, AK",metro,AK,AK
21860,"Fairmont, MN",micro,MN,MN
21900,"Fairmont, WV",micro,WV,WV
21980,"Fallon, NV",micro,NV,NV
22020,"Fargo, ND-MN",metro,ND,ND-MN
22060,"Faribault-Northfield, MN",micro,MN,MN
22100,"Farmington, MO",micro,MO,MO
22140,"Farmington, NM",metro,NM,NM
22180,"Fayetteville, NC",metro,NC,NC
22190,"Fayetteville, TN",micro,TN,TN
22220,"Fayetteville-Springdale-Rogers, AR",metro,AR,AR
22260,"Fergus Falls, MN",micro,MN,MN
22300,"Findlay, OH",micro,OH,OH
22340,"Fitzgerald, GA",micro,GA,GA
22380,"Flagstaff, AZ",metro,AZ,AZ
22420,"Flint, MI",metro,MI,MI
22500,"Florence, SC",metro,SC,SC
22520,"Florence-Muscle Shoals, AL",metro,AL,AL
22540,"Fond du Lac, WI",metro,WI,WI
22580,"Forest City, NC",micro,NC,NC
22620,"Forrest City, AR",micro,AR,AR
22660,"Fort Collins-Loveland, CO",metro,CO,CO
22700,"Fort Dodge, IA",micro,IA,IA
22780,"Fort Leonard Wood, MO",micro,MO,MO
22800,"Fort Madison, IA",micro,IA,IA
22820,"Fort Morgan, CO",micro,CO,CO
22840,"Fort Payne, AL",micro,AL,AL
22900,"Fort Smith, AR-OK",metro,AR,AR-OK
23060,"Fort Wayne, IN",metro,IN,IN
23140,"Frankfort, IN",micro,IN,IN
23180,"Frankfort, KY",micro,KY,KY
23190,"Franklin, KY",micro,KY,KY
23240,"Fredericksburg, TX",micro,TX,TX
23300,"Freeport, IL",micro,IL,IL
23340,"Fremont, NE",micro,NE,NE
23380,"Fremont, OH",micro,OH,OH
23420,"Fresno, CA",metro,CA,CA
23460,"Gadsden, AL",metro,AL,AL
23500,"Gaffney, SC",micro,SC,SC
23540,"Gainesville, FL",metro,FL,FL
23580,"Gainesville, GA",metro,GA,GA
23620,"Gainesville, TX",micro,TX,TX
23660,"Galesburg, IL",micro,IL,IL
23680,"Gallipolis, OH",micro,OH,OH
23700,"Gallup, NM",micro,NM,NM
23780,"Garden City, KS",micro,KS,KS
